tx_hash,block_number,pool,profit_raw,profit_token,tx_to,tx_input_selector,n_swaps_in_tx,n_swaps_same_block_after,n_swaps_next_3_blocks
0xf76258c00cc630e4caad730c9bb522e84d37bbca89d072c5d7fee62f398d0b64,15657336,0xd391259888fe4599e8011eea5e27b93a9dc74920,30332182095589247,0x5555555555555555555555555555555555555555,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0xaf7060fd,2,0,0
0x5ec4bd8fdfe713b0c56f717635e84b391135c3b38ce3759ccdbe5b553dc37a85,15678276,0xd391259888fe4599e8011eea5e27b93a9dc74920,66078138764086702,0x5555555555555555555555555555555555555555,0x3e851976dca1bc02a2f35ce926dcafd1deb3359b,0xd7a08473,2,0,1
0x74e1ac42380f878c77cbec1f3d890647d45bb61cea2964749a641ab2ff55af43,15698954,0xd391259888fe4599e8011eea5e27b93a9dc74920,324012939356932764,0x5555555555555555555555555555555555555555,0x3012e9049d05b4b5369d690114d5a5861ebb85cb,0xac9650d8,2,0,2
0x90464f4b12b4baa5064bbbaab8fba5668626fc1f0b6b5e9d2c1dd3dbfb7537bf,15698956,0xd391259888fe4599e8011eea5e27b93a9dc74920,1056950830292657406,0x5555555555555555555555555555555555555555,0x3012e9049d05b4b5369d690114d5a5861ebb85cb,0xac9650d8,2,0,1
0xa89a8a04e08b105c2248b4d2b7d30b30f6339d42ffe11d2bacf62c9c4a43d38d,15698964,0xd391259888fe4599e8011eea5e27b93a9dc74920,617539633678810906,0x5555555555555555555555555555555555555555,0x3012e9049d05b4b5369d690114d5a5861ebb85cb,0xac9650d8,2,0,1
0xd08403cf119604b8f8f2514cebdfe9cf3be78e9fac70aff82de55c2808c1e388,15699006,0xd391259888fe4599e8011eea5e27b93a9dc74920,770729402448340274,0x5555555555555555555555555555555555555555,0x3012e9049d05b4b5369d690114d5a5861ebb85cb,0xac9650d8,2,0,1
0x74b47d0b3ddc8430f3b997908cca7a42d3f6ae7f32c8a84bee6f763c2d0a3d41,15765097,0xd391259888fe4599e8011eea5e27b93a9dc74920,25509160004525557,0x5555555555555555555555555555555555555555,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0x30c48952,2,0,0
0x75074ab1ac0b0f73b15c498d7baf1c7c356671dc8dc8da9f0f39468d3c32089a,15785548,0xd391259888fe4599e8011eea5e27b93a9dc74920,99506658415070669,0x5555555555555555555555555555555555555555,0x3e851976dca1bc02a2f35ce926dcafd1deb3359b,0xd7a08473,2,0,1
0x7d446fa9cddc95ea70c4d705729a67b1ecd1bf140ef916443660726349a6a616,15792574,0xd391259888fe4599e8011eea5e27b93a9dc74920,47440175177172283,0x5555555555555555555555555555555555555555,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0x30c48952,2,0,0
0x267f933d364d2d01df09071192c324fb0ec38eaeaf5582d6d5eedc7fad022389,15832662,0xd391259888fe4599e8011eea5e27b93a9dc74920,824853326681230085,0x5555555555555555555555555555555555555555,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0xaf7060fd,2,0,0
0x5ea1250928c42abcfb2143e3372d01c327950cff3461b4bf9ce80c916929e2cb,15838470,0xd391259888fe4599e8011eea5e27b93a9dc74920,268433654013936821,0x5555555555555555555555555555555555555555,0xac4c6e212a361c968f1725b4d055b47e63f80b75,0x5f3bd1c8,2,0,0
0xb21ccb11c1c1e1aa3598af992910287c0da43180481d5b86e71f02e2b52b4d7a,15838502,0xd391259888fe4599e8011eea5e27b93a9dc74920,409797942337510260,0x5555555555555555555555555555555555555555,0xac4c6e212a361c968f1725b4d055b47e63f80b75,0x5f3bd1c8,2,0,2
0xad2f54850777347c6bc6f9d1f2624ef183152513360a65ce9f2b4f0e3ed31622,15838517,0xd391259888fe4599e8011eea5e27b93a9dc74920,557789050086543110,0x5555555555555555555555555555555555555555,0xac4c6e212a361c968f1725b4d055b47e63f80b75,0x5f3bd1c8,2,0,1
0xbc95681e4ff03c1bb6e3ed00da946d9f60e82581b56e772fee815389d84642b8,15838535,0xd391259888fe4599e8011eea5e27b93a9dc74920,507013122424822013,0x5555555555555555555555555555555555555555,0xac4c6e212a361c968f1725b4d055b47e63f80b75,0x5f3bd1c8,2,0,0
0x2722e748077964d788f4c3f620f725045a46ee59fcb7d77264f1f940f630f563,15909642,0xd391259888fe4599e8011eea5e27b93a9dc74920,444311725983018585,0x5555555555555555555555555555555555555555,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0xaf7060fd,2,0,1
0x48bc9c1c4f1a485c90d9fe881cd2d189cedda96654a258c0492de8513081568c,15929451,0x25ed8e68f71f60dcf3b730090a313c0a6f30025c,2721918700767575,0x5555555555555555555555555555555555555555,0x3012e9049d05b4b5369d690114d5a5861ebb85cb,0xac9650d8,2,0,0
0xac2dc90a4d87669690bc3590b182cc7bf9b6d230e30114c0fdd756fcad241b36,15957616,0xd391259888fe4599e8011eea5e27b93a9dc74920,92317526613086618,0x5555555555555555555555555555555555555555,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0x4666fc80,2,0,1
0xb3688cbad7c2a8e17e8fe62e7ffef2f5a43e0d1b3a5c7c21d42eb04e97b15465,15998521,0xd391259888fe4599e8011eea5e27b93a9dc74920,343286459464756796,0x5555555555555555555555555555555555555555,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0x30c48952,2,0,2
0x40919f42e936e6ccbc9363e9052712b15bc2fb7f45db8769dad4b8fe6b717944,16004989,0x25ed8e68f71f60dcf3b730090a313c0a6f30025c,51823488379477493,0x5555555555555555555555555555555555555555,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0x4666fc80,2,0,1
0xcb4c2357b331528fa6ec36d4af6296f3cad9fe919df9c0929b7d7fb43e50ff1f,16114543,0xd391259888fe4599e8011eea5e27b93a9dc74920,131096418394489790,0x5555555555555555555555555555555555555555,0x3e851976dca1bc02a2f35ce926dcafd1deb3359b,0xd7a08473,2,0,0
0xefba1526c3483c0cf38fdaef9f26e1976837c13c3d31c37cd28466ba8d01d9fe,16114924,0xd391259888fe4599e8011eea5e27b93a9dc74920,39572140077699893,0x5555555555555555555555555555555555555555,0x3012e9049d05b4b5369d690114d5a5861ebb85cb,0xac9650d8,2,0,0
0x1ab5cbad0c503393ac49f37a861617079ccc90c3dc79a82a758df38447e4b2b2,16128573,0xd391259888fe4599e8011eea5e27b93a9dc74920,291862197773180258,0x5555555555555555555555555555555555555555,0x87a26566dbb3bf206634c1792a96ff4989e3f56e,0xfcaabe3b,2,0,1
0x67dabf8c9d1ed98ddfda5ba3662c9f964664df6cecbb49ed854f8448ddac6dfb,16144189,0x25ed8e68f71f60dcf3b730090a313c0a6f30025c,306469482887670530,0x5555555555555555555555555555555555555555,0x980b9271a33c4b31214301fae584b18dbb9731ec,0xf970cf64,2,0,0
0xee5f76bb9e06cccd26cabb4cd1bf3a43a55573edf51be9df8a43510f52300f77,16148886,0xd391259888fe4599e8011eea5e27b93a9dc74920,1235740601630245094477,0x5555555555555555555555555555555555555555,0xe95f6eaeae1e4d650576af600b33d9f7e5f9f7fd,0x57eb8db4,2,0,1
0x5834f1bd9a74f0f637609ed4fe651cc07fa762707a28e16f1aeb78f1a6f2a257,16150350,0x25ed8e68f71f60dcf3b730090a313c0a6f30025c,2387724566889582,0x5555555555555555555555555555555555555555,0xd34d1328103d9cf65037aaa7e736f74b8f878dd2,0xcf586c5c,2,0,0
0x5e634d1b3dc431572db8db25f6c7a034a4789c29b7ca6bf1bb00fe27bebe3355,16170785,0x25ed8e68f71f60dcf3b730090a313c0a6f30025c,2329910795650828,0x5555555555555555555555555555555555555555,0x4212a77e4533eca49643d7b731f5fb1b2782fe94,0x415565b0,2,0,0
0x0af2df02151fcb6c35cd1370cbc1a979e1949282f33d562ba7e7114d89b5e5e5,16226341,0x25ed8e68f71f60dcf3b730090a313c0a6f30025c,5216986274484463,0x5555555555555555555555555555555555555555,0x44b49e2ec15ae8cd9d396ec3286e8035fc9ede51,0xb61d27f6,2,0,0
0xb6f57da418817c93697d872791a8e69306d63db9b18330096bcc1c5a1ca9ab28,16265804,0xd391259888fe4599e8011eea5e27b93a9dc74920,716673784106749193,0x5555555555555555555555555555555555555555,0x3e851976dca1bc02a2f35ce926dcafd1deb3359b,0xd7a08473,2,0,3
0x881dcb59eb4904bd2df1a32b3e50cdb6f8d1919fa2938cada631005ece04114d,16354682,0x5e43a757ba769d4cd5fe568ae2429d4ae69e0ecf,486428,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,0x744489ee3d540777a66f2cf297479745e0852f7a,0xa22c27fe,2,0,0
0x6bca31fd833076dd3741d0d454e29bdb89f6672d5b0c6e8ec3e543118e825284,16356199,0x25ed8e68f71f60dcf3b730090a313c0a6f30025c,2227179764739460,0x5555555555555555555555555555555555555555,0x44b49e2ec15ae8cd9d396ec3286e8035fc9ede51,0xb61d27f6,2,0,0
0x76308d6656cfefb8028fb2b86bf07a578a305eaf24dce89709f8419803cce10b,16360643,0x25ed8e68f71f60dcf3b730090a313c0a6f30025c,1868289395690549,0x5555555555555555555555555555555555555555,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0xaf7060fd,2,0,0
0xc646c09fc6644785e73d7d77bf86d6f91aa2295ed79216d4cfb0b076a9e75726,16423975,0xd391259888fe4599e8011eea5e27b93a9dc74920,11382093300825810009,0x5555555555555555555555555555555555555555,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0xaf7060fd,2,0,2
0x986d15b0965d0a8e7d9b94b9830e71fbb2946ea7b2da7d477c2175e3caed48f0,16475224,0x5e43a757ba769d4cd5fe568ae2429d4ae69e0ecf,97135,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,0x980b9271a33c4b31214301fae584b18dbb9731ec,0xf970cf64,2,0,0
0x5adfaa2947d499c5b7987e688eb84bf44f33b475fa013ceea52c5160265075e0,16509985,0x5e43a757ba769d4cd5fe568ae2429d4ae69e0ecf,143779,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,0x3e851976dca1bc02a2f35ce926dcafd1deb3359b,0xd7a08473,2,0,1
0xf26cdcb26a45ead5d777a5d49bdc09fecb7b5f256b572435664e0a13e386a68e,16555305,0x5e43a757ba769d4cd5fe568ae2429d4ae69e0ecf,95851,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,0x744489ee3d540777a66f2cf297479745e0852f7a,0xa22c27fe,2,0,0
0x5e1adc31179a9c45af59d0a7bedd90de923adabfe72c891e986db52772979759,16558234,0xd391259888fe4599e8011eea5e27b93a9dc74920,485243901836738799,0x5555555555555555555555555555555555555555,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0x25d374e8,2,0,0
0x96acec2b594562bd70bd63bd2275b256ba1de0f45731765c773cd6a27375f48b,16561871,0x5e43a757ba769d4cd5fe568ae2429d4ae69e0ecf,52733,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,0xe95f6eaeae1e4d650576af600b33d9f7e5f9f7fd,0x57eb8db4,2,0,0
0x5f4e23cc95b521de26f695d6b9971ec6cd8650a54dfd0ed2f1770d69c3ceecea,16664564,0xd391259888fe4599e8011eea5e27b93a9dc74920,6517384393290947632,0x5555555555555555555555555555555555555555,0x3012e9049d05b4b5369d690114d5a5861ebb85cb,0xac9650d8,2,0,1
0x1670643a07db890d056b38fe5b39ef122d044c661cb21ee0b2137182a7f2b716,16668284,0xd391259888fe4599e8011eea5e27b93a9dc74920,740510276177057946,0x5555555555555555555555555555555555555555,0x3012e9049d05b4b5369d690114d5a5861ebb85cb,0xac9650d8,2,0,1
0xac71cd75b4de518e0bbb66b52397f5dd70b6032ce28d11e471a16b708e471a8c,16691720,0xd391259888fe4599e8011eea5e27b93a9dc74920,37006862472817592,0x5555555555555555555555555555555555555555,0x3012e9049d05b4b5369d690114d5a5861ebb85cb,0xac9650d8,2,0,0
0xd9ed42644cf60fe39347f42e3dfb1ca52bed20bd272dc73e7c428f10e2af5351,16705920,0xd391259888fe4599e8011eea5e27b93a9dc74920,92608835554320249,0x5555555555555555555555555555555555555555,0x744489ee3d540777a66f2cf297479745e0852f7a,0xa22c27fe,2,0,0
0x4354eeeadfee0f93a414f61e6f554bfe98d0306527ee71bc40b568e8f5b4353f,16707468,0x5e43a757ba769d4cd5fe568ae2429d4ae69e0ecf,272761,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0xaf7060fd,2,0,0
0x025358ab37f082c937c14bb5a2e9fb960cd03f30cfa4f0195bff81cb8e86f2e8,16708685,0xd391259888fe4599e8011eea5e27b93a9dc74920,36501089207286627,0x5555555555555555555555555555555555555555,0x744489ee3d540777a66f2cf297479745e0852f7a,0xa22c27fe,2,0,0
0x7899aa63ab38a47fd59a6cef58183d735ba91e88fcd7f4a05c294e0d94a8aeb8,16710013,0xd391259888fe4599e8011eea5e27b93a9dc74920,166146514462739749,0x5555555555555555555555555555555555555555,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0xaf7060fd,2,0,1
0x7f309c940a53f3027af9cdaf1059ed6dafd4e9a2d4bdaa19a0f273654094c0ab,16710171,0xd391259888fe4599e8011eea5e27b93a9dc74920,41391922746641912,0x5555555555555555555555555555555555555555,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0xaf7060fd,2,0,0
0x23892a282a2d518159853fed373bba42959fc07f54bd6a354bac752f89489eab,16710786,0xd391259888fe4599e8011eea5e27b93a9dc74920,94443711092909395,0x5555555555555555555555555555555555555555,0xd34d1328103d9cf65037aaa7e736f74b8f878dd2,0xcf586c5c,2,0,0
0x7eb6633ad979de9725f31cd21b2aab2f66a039b8b08bb1f2adbf2a47049f0e83,16714229,0xd391259888fe4599e8011eea5e27b93a9dc74920,191240605057117431,0x5555555555555555555555555555555555555555,0x744489ee3d540777a66f2cf297479745e0852f7a,0xa22c27fe,2,0,0
0x78b593585d74c4fa452560bb896dc55cd205db36544026f410014047a43aee3c,16716920,0x25ed8e68f71f60dcf3b730090a313c0a6f30025c,808762183987311,0x5555555555555555555555555555555555555555,0x3012e9049d05b4b5369d690114d5a5861ebb85cb,0x1679c792,2,0,0
0x52436fe5219ff9fbdcabae5d93c5b409ae2679ea91eaf774bd1b1adf83e56e65,16780671,0xd391259888fe4599e8011eea5e27b93a9dc74920,24053255679263658,0x5555555555555555555555555555555555555555,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0x4666fc80,2,0,1
0xdc495455dff8478f34ec3782f05039e828b43f129c2693c4963147bb4ca46f56,16815353,0x5e43a757ba769d4cd5fe568ae2429d4ae69e0ecf,49722,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,0x0a0758d937d1059c356d4714e57f5df0239bce1a,0x4666fc80,2,0,0
